epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66035,2.84351,4.11527,1.59149,0.3189,0.18443,0.1973,0.05654,2.19539,2.67406,1.16806,0.09602,2e-05,2e-05
2,7.7975,1.95965,2.47544,1.13191,0.32665,0.45082,0.27215,0.11556,2.32764,14.2985,1.32184,0.091045,4.49951e-05,4.49951e-05
3,10.632,1.66059,1.29019,1.01538,0.30779,0.78689,0.58589,0.21607,1.87642,15.8261,1.09236,0.08607,6.99696e-05,6.99696e-05
4,14.2714,1.60144,1.11486,1.01758,0.16766,0.86066,0.71858,0.33994,1.71853,17.915,1.06053,0.0810949,9.49072e-05,9.49072e-05
5,17.6755,1.49434,0.90046,0.98406,0.74359,0.47541,0.57335,0.28431,1.54241,28.1074,1.00536,0.0761198,0.000119792,0.000119792
6,20.109,1.42185,0.86016,0.95675,0.0875,0.89344,0.38471,0.20162,1.49751,20.0556,0.9937,0.0711446,0.000144607,0.000144607
7,24.2242,1.43137,0.85011,0.95198,0.24273,0.77459,0.51013,0.26685,1.56642,6.51158,1.02411,0.0661693,0.000169336,0.000169336
8,27.2304,1.40742,0.81265,0.97226,0.24828,0.82787,0.70493,0.40656,1.45845,6.30207,1.00133,0.061194,0.000193965,0.000193965
9,30.7416,1.41375,0.77005,1.00337,0.22193,0.89754,0.82746,0.48811,1.37423,7.58587,0.97184,0.0562185,0.000218475,0.000218475
10,34.1007,1.34101,0.73747,0.97932,0.48729,0.76639,0.73663,0.41798,1.36824,3.43676,0.97837,0.0512429,0.000242852,0.000242852
11,36.5674,1.38694,0.78827,0.96933,0.59325,0.7623,0.75892,0.41978,1.40907,2.80598,0.98903,0.0462671,0.000267079,0.000267079
12,39.377,1.40168,0.75723,0.9958,0.6032,0.86475,0.85764,0.52676,1.2514,3.24463,0.9479,0.0412911,0.000291142,0.000291142
13,42.5497,1.32951,0.74529,0.95348,0.75767,0.86475,0.88587,0.54159,1.26035,2.24155,0.95748,0.036315,0.000315024,0.000315024
14,45.7113,1.36534,0.70232,0.95221,0.75767,0.86475,0.88587,0.54159,1.26035,2.24155,0.95748,0.0313387,0.000338709,0.000338709
15,51.0244,1.39541,0.69263,0.93929,0.81768,0.87705,0.8929,0.54588,1.22634,1.68004,0.95304,0.0263622,0.000362183,0.000362183
16,53.9788,1.36624,0.71524,0.94431,0.62295,0.89754,0.83169,0.48553,1.24299,2.48602,0.95741,0.0213854,0.00038543,0.00038543
17,57.55,1.31165,0.71401,0.92498,0.67138,0.89344,0.82952,0.49502,1.23598,2.12957,0.95645,0.0164084,0.000408436,0.000408436
18,60.3494,1.30069,0.71892,0.93457,0.67138,0.89344,0.82952,0.49502,1.23598,2.12957,0.95645,0.0114312,0.000431185,0.000431185
19,65.1568,1.31338,0.6874,0.98691,0.8414,0.84797,0.89384,0.57896,1.19183,1.01059,0.93929,0.00645366,0.000453662,0.000453662
