epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3685.9,2.02464,2.05541,2.12391,0.5371,0.55804,0.52663,0.22674,1.92202,1.9511,2.16832,0.0668707,0.000166479,0.000166479
2,4707.03,1.94157,1.87575,2.06213,0.68109,0.56983,0.66804,0.29574,1.90816,1.69957,2.01165,0.033704,0.000333109,0.000333109
3,3793.67,1.8735,1.78765,2.01767,0.23948,0.2711,0.13221,0.04709,1.94699,52.42,2.14211,0.000537175,0.000499595,0.000499595
4,4783.6,1.80161,1.66041,1.96144,0.63253,0.60933,0.65653,0.30932,1.80513,1.55424,1.9411,0.000499512,0.000499512,0.000499512
5,5542.14,1.74346,1.54002,1.90777,0.79124,0.76711,0.82645,0.41624,1.64095,1.31093,1.86097,0.000499132,0.000499132,0.000499132
6,6512.09,1.69038,1.44504,1.84966,0.8002,0.75429,0.83369,0.4558,1.56726,1.11724,1.74165,0.000498644,0.000498644,0.000498644
7,7478.78,1.68827,1.42164,1.84122,0.82436,0.78515,0.85678,0.44224,1.64885,1.0589,1.78456,0.000498048,0.000498048,0.000498048
8,8438.53,1.65371,1.36299,1.82008,0.8358,0.80591,0.87205,0.48118,1.50807,1.40632,1.73861,0.000497345,0.000497345,0.000497345
9,9399.11,1.62976,1.3054,1.81675,0.87766,0.85726,0.91559,0.53329,1.41107,0.88708,1.66236,0.000496534,0.000496534,0.000496534
10,4644.5,1.58492,1.23699,1.77195,0.85586,0.85736,0.90535,0.52382,1.44295,0.93451,1.68308,0.000495616,0.000495616,0.000495616
11,5600.16,1.55189,1.18592,1.74505,0.88422,0.88401,0.92285,0.54874,1.38533,0.84836,1.65146,0.000494592,0.000494592,0.000494592
12,6566.98,1.55807,1.16913,1.73805,0.84168,0.89336,0.90821,0.52703,1.3673,1.03458,1.62538,0.000493461,0.000493461,0.000493461
13,7523.48,1.5202,1.13108,1.7186,0.90487,0.86482,0.93345,0.56796,1.34025,0.87096,1.61616,0.000492224,0.000492224,0.000492224
14,8488.12,1.51457,1.11606,1.71799,0.90983,0.8932,0.9411,0.58671,1.28085,0.76937,1.55194,0.000490883,0.000490883,0.000490883
15,9450.31,1.52796,1.12981,1.72828,0.87387,0.89395,0.93171,0.58362,1.28417,0.86344,1.57066,0.000489437,0.000489437,0.000489437
16,10428.2,1.51469,1.0945,1.71343,0.8933,0.89619,0.93468,0.59429,1.27046,0.80532,1.54614,0.000487886,0.000487886,0.000487886
17,11386.1,1.49803,1.06887,1.69857,0.90688,0.90191,0.94528,0.60387,1.26745,0.73009,1.53557,0.000486233,0.000486233,0.000486233
18,4768.69,1.45494,1.0245,1.66838,0.90071,0.91459,0.94716,0.61334,1.22688,0.71703,1.52186,0.000484477,0.000484477,0.000484477
19,5748.36,1.4383,0.9944,1.65542,0.92279,0.91045,0.95223,0.59859,1.27115,0.73817,1.52652,0.00048262,0.00048262,0.00048262
20,6715.54,1.43428,0.98919,1.64079,0.92821,0.91728,0.96024,0.63135,1.20347,0.64654,1.48161,0.000480661,0.000480661,0.000480661
21,7687.99,1.41278,0.96729,1.63136,0.91481,0.92229,0.95451,0.6259,1.21399,0.67914,1.48518,0.000478603,0.000478603,0.000478603
22,8656.31,1.41101,0.96267,1.6321,0.93285,0.91636,0.96578,0.6443,1.18322,0.63662,1.44628,0.000476445,0.000476445,0.000476445
23,9628.35,1.41219,0.96343,1.63146,0.89818,0.93428,0.95843,0.63865,1.16145,0.64697,1.46551,0.000474189,0.000474189,0.000474189
24,10595.5,1.39949,0.94359,1.61889,0.91899,0.92344,0.96007,0.6502,1.1484,0.63307,1.44252,0.000471835,0.000471835,0.000471835
25,11572.2,1.38119,0.92166,1.6015,0.90516,0.93951,0.96629,0.6625,1.12316,0.60546,1.41755,0.000469386,0.000469386,0.000469386
26,12550.2,1.41038,0.94526,1.62199,0.93293,0.94698,0.96818,0.65291,1.14708,0.58582,1.42945,0.000466841,0.000466841,0.000466841
27,3948.6,1.3545,0.8886,1.59181,0.92171,0.94249,0.96426,0.66227,1.10826,0.60975,1.41067,0.000464203,0.000464203,0.000464203
28,4904.96,1.34023,0.86722,1.56562,0.93022,0.94585,0.96942,0.67453,1.08414,0.57556,1.39848,0.000461471,0.000461471,0.000461471
29,5868.55,1.33146,0.85643,1.55357,0.93663,0.95071,0.96933,0.66799,1.10858,0.55626,1.38966,0.000458648,0.000458648,0.000458648
30,6825.57,1.31089,0.83887,1.53885,0.94109,0.94256,0.97124,0.68629,1.07626,0.555,1.36936,0.000455734,0.000455734,0.000455734
31,7786.06,1.3103,0.83625,1.54656,0.94283,0.9537,0.97052,0.69434,1.04452,0.53724,1.35576,0.000452732,0.000452732,0.000452732
32,8745.62,1.30298,0.83866,1.54173,0.92924,0.96109,0.9747,0.69075,1.04473,0.53938,1.35453,0.000449641,0.000449641,0.000449641
33,9703.35,1.29483,0.83144,1.53435,0.94996,0.95967,0.97371,0.69597,1.03996,0.51417,1.34507,0.000446464,0.000446464,0.000446464
34,10662.7,1.27797,0.81087,1.52093,0.94101,0.95668,0.972,0.69371,1.0218,0.53657,1.34344,0.000443202,0.000443202,0.000443202
35,11621,1.29466,0.81788,1.52407,0.95176,0.95743,0.97826,0.70524,1.00137,0.49827,1.32664,0.000439856,0.000439856,0.000439856
36,12582.7,1.33504,0.8428,1.55569,0.94076,0.96062,0.97797,0.7068,1.0061,0.49753,1.31611,0.000436428,0.000436428,0.000436428
37,13545.6,1.32924,0.83283,1.54854,0.94823,0.97115,0.97955,0.71307,0.99611,0.49736,1.30535,0.00043292,0.00043292,0.00043292
38,14510.7,1.30231,0.81882,1.53171,0.94426,0.95743,0.97598,0.72118,0.97634,0.48635,1.28868,0.000429332,0.000429332,0.000429332
39,15470.9,1.29882,0.80328,1.52576,0.95846,0.96504,0.97556,0.72368,0.95839,0.47593,1.2889,0.000425667,0.000425667,0.000425667
40,4288.77,1.23616,0.76931,1.47661,0.93881,0.97396,0.97689,0.72516,0.96607,0.48899,1.28617,0.000421925,0.000421925,0.000421925
41,4079.99,1.12778,0.70109,1.40177,0.94263,0.97012,0.97749,0.72119,0.97065,0.4822,1.30614,0.00041811,0.00041811,0.00041811
42,5027.04,1.23206,0.75431,1.47695,0.9578,0.95964,0.9801,0.73228,0.95877,0.46535,1.28643,0.000414222,0.000414222,0.000414222
43,5981.08,1.21452,0.7346,1.45374,0.95896,0.96861,0.98057,0.74,0.94057,0.45776,1.26455,0.000410262,0.000410262,0.000410262
